#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 908: Alpine Meadows, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qc flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent  Qa flag     None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Density           Value       None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qc flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# Snow Density           Qa flag     None           Instantaneous - Start of Day  N/A        Percent            N/A           SNDN          The mass of snow per unit volume, expressed as a percent of water content                          
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Alpine Meadows (908) 
# Washington  SNOTEL Site - 3500 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 19, 2022 10:09:41 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Snow Water Equivalent QC Flag Start of Day Values,Snow Water Equivalent QA Flag Start of Day Values,Snow Density (pct) Start of Day Values,Snow Density QC Flag Start of Day Values,Snow Density QA Flag Start of Day Values
1994-12-28,31.3,V,,,,
1994-12-29,31.3,E,,,,
1994-12-30,31.3,E,,,,
1994-12-31,31.3,V,,,,
1995-01-01,31.3,E,,,,
1995-01-02,31.3,E,,,,
1995-01-03,31.3,E,,,,
1995-01-04,31.6,E,,,,
1995-01-05,31.6,E,,,,
1995-01-06,31.6,E,,,,
1995-01-07,31.6,E,,,,
1995-01-08,31.6,E,,,,
1995-01-09,31.7,E,,,,
1995-01-10,32.5,V,,,,
1995-01-11,32.4,V,,,,
1995-01-12,32.1,V,,,,
1995-01-13,32.5,V,,,,
1995-01-14,32.1,V,,,,
1995-01-15,32.2,V,,,,
1995-01-16,32.2,E,,,,
1995-01-17,33.4,V,,,,
1995-01-18,34.4,V,,,,
1995-01-19,34.9,V,,,,
1995-01-20,34.5,V,,,,
1995-01-21,34.5,V,,,,
1995-01-22,34.5,E,,,,
1995-01-23,34.5,V,,,,
1995-01-24,34.5,E,,,,
1995-01-25,34.5,E,,,,
1995-01-26,34.5,E,,,,
1995-01-27,34.5,E,,,,
1995-01-28,34.5,E,,,,
1995-01-29,35.2,V,,,,
1995-01-30,35.7,V,,,,
1995-01-31,35.7,V,,,,
1995-02-01,35.6,V,,,,
1995-02-02,34.0,E,,,,
1995-02-03,33.3,V,,,,
1995-02-04,32.8,V,,,,
1995-02-05,32.4,V,,,,
1995-02-06,31.9,V,,,,
1995-02-07,31.5,V,,,,
1995-02-08,31.6,V,,,,
1995-02-09,31.6,E,,,,
1995-02-10,31.6,V,,,,
1995-02-11,31.4,V,,,,
1995-02-12,31.9,V,,,,
1995-02-13,32.2,V,,,,
1995-02-14,32.4,V,,,,
1995-02-15,32.4,V,,,,
1995-02-16,33.5,V,,,,
1995-02-17,35.0,V,,,,
1995-02-18,35.8,V,,,,
1995-02-19,36.7,V,,,,
1995-02-20,35.9,V,,,,
1995-02-21,35.2,V,,,,
1995-02-22,34.0,V,,,,
1995-02-23,33.4,V,,,,
1995-02-24,33.2,V,,,,
1995-02-25,32.8,V,,,,
1995-02-26,32.8,E,,,,
1995-02-27,32.8,V,,,,
1995-02-28,33.3,V,,,,
1995-03-01,33.3,V,,,,
1995-03-02,33.3,V,,,,
1995-03-03,33.2,V,,,,
1995-03-04,32.7,V,,,,
1995-03-05,34.1,V,,,,
1995-03-06,34.2,V,,,,
1995-03-07,34.5,V,,,,
1995-03-08,34.5,E,,,,
1995-03-09,35.8,V,,,,
1995-03-10,36.1,V,,,,
1995-03-11,35.8,V,,,,
1995-03-12,35.9,V,,,,
1995-03-13,35.4,V,,,,
1995-03-14,34.9,V,,,,
1995-03-15,34.9,V,,,,
1995-03-16,35.5,V,,,,
1995-03-17,35.4,V,,,,
1995-03-18,35.2,V,,,,
1995-03-19,36.1,V,,,,
1995-03-20,36.0,V,,,,
1995-03-21,35.5,V,,,,
1995-03-22,35.5,V,,,,
1995-03-23,35.6,V,,,,
1995-03-24,35.8,V,,,,
1995-03-25,36.5,V,,,,
1995-03-26,36.4,V,,,,
1995-03-27,36.4,V,,,,
1995-03-28,36.4,V,,,,
1995-03-29,36.4,V,,,,
1995-03-30,36.3,V,,,,
1995-03-31,36.1,V,,,,
1995-04-01,36.2,V,,,,
1995-04-02,36.6,E,,,,
1995-04-03,36.7,V,,,,
1995-04-04,36.5,V,,,,
1995-04-05,37.3,V,,,,
1995-04-06,37.0,V,,,,
1995-04-07,36.7,V,,,,
1995-04-08,36.6,V,,,,
1995-04-09,37.2,V,,,,
1995-04-10,37.4,V,,,,
1995-04-11,37.8,V,,,,
1995-04-12,38.0,V,,,,
1995-04-13,37.9,V,,,,
1995-04-14,39.1,V,,,,
1995-04-15,39.6,V,,,,
1995-04-16,39.3,V,,,,
1995-04-17,39.3,V,,,,
1995-04-18,39.9,V,,,,
1995-04-19,40.9,V,,,,
1995-04-20,41.2,V,,,,
1995-04-21,41.1,V,,,,
1995-04-22,41.1,V,,,,
1995-04-23,41.1,E,,,,
1995-04-24,41.1,V,,,,
1995-04-25,40.9,V,,,,
1995-04-26,40.6,V,,,,
1995-04-27,40.1,V,,,,
1995-04-28,39.6,V,,,,
1995-04-29,38.9,V,,,,
1995-04-30,38.4,V,,,,
1995-05-01,37.8,V,,,,
1995-05-02,37.2,V,,,,
1995-05-03,38.1,V,,,,
1995-05-04,36.9,V,,,,
1995-05-05,36.2,V,,,,
1995-05-06,35.5,V,,,,
1995-05-07,34.9,V,,,,
1995-05-08,34.4,V,,,,
1995-05-09,34.3,V,,,,
1995-05-10,33.7,V,,,,
1995-05-11,33.1,V,,,,
1995-05-12,32.6,V,,,,
1995-05-13,32.2,V,,,,
1995-05-14,31.5,V,,,,
1995-05-15,30.3,V,,,,
1995-05-16,28.8,V,,,,
1995-05-17,28.0,V,,,,
1995-05-18,27.0,V,,,,
1995-05-19,26.3,V,,,,
1995-05-20,25.7,V,,,,
1995-05-21,24.4,V,,,,
1995-05-22,23.1,V,,,,
1995-05-23,21.6,V,,,,
1995-05-24,20.0,V,,,,
1995-05-25,18.5,V,,,,
1995-05-26,16.9,V,,,,
1995-05-27,15.2,V,,,,
1995-05-28,13.5,V,,,,
1995-05-29,11.8,V,,,,
1995-05-30,10.0,E,,,,
1995-05-31,7.8,E,,,,
1995-06-01,6.2,E,,,,
1995-06-02,4.7,E,,,,
1995-06-03,3.4,E,,,,
1995-06-04,2.1,E,,,,
1995-06-05,1.2,E,,,,
1995-06-06,0.8,V,,,,
1995-06-07,0.5,V,,,,
1995-06-08,0.2,V,,,,
1995-06-09,0.2,V,,,,
1995-06-10,0.1,V,,,,
1995-06-11,0.0,V,,,,
1995-06-12,0.0,E,,,,
1995-06-13,0.0,E,,,,
1995-06-14,0.0,E,,,,
1995-06-15,0.0,E,,,,
1995-06-16,0.0,E,,,,
1995-06-17,0.0,E,,,,
1995-06-18,0.0,E,,,,
1995-06-19,0.0,E,,,,
1995-06-20,0.0,E,,,,
1995-06-21,0.0,E,,,,
1995-06-22,0.0,E,,,,
1995-06-23,0.0,E,,,,
1995-06-24,0.0,E,,,,
1995-06-25,0.0,E,,,,
1995-06-26,0.0,E,,,,
1995-06-27,0.0,E,,,,
1995-06-28,0.0,E,,,,
1995-06-29,0.0,E,,,,
1995-06-30,0.0,E,,,,
1995-07-01,0.0,E,,,,
1995-07-02,0.0,E,,,,
1995-07-03,0.0,E,,,,
1995-07-04,0.0,E,,,,
1995-07-05,0.0,E,,,,
1995-07-06,0.0,E,,,,
1995-07-07,0.0,E,,,,
1995-07-08,0.0,E,,,,
1995-07-09,0.0,V,,,,
1995-07-10,0.0,V,,,,
1995-07-11,0.0,E,,,,
1995-07-12,0.0,E,,,,
1995-07-13,0.0,E,,,,
1995-07-14,0.0,E,,,,
1995-07-15,0.0,E,,,,
1995-07-16,0.0,E,,,,
1995-07-17,0.0,E,,,,
1995-07-18,0.0,E,,,,
1995-07-19,0.0,E,,,,
1995-07-20,0.0,E,,,,
1995-07-21,0.0,E,,,,
1995-07-22,0.0,E,,,,
1995-07-23,0.0,E,,,,
1995-07-24,0.0,E,,,,
1995-07-25,0.0,E,,,,
1995-07-26,0.0,E,,,,
1995-07-27,0.0,E,,,,
1995-07-28,0.0,E,,,,
1995-07-29,0.0,E,,,,
1995-07-30,0.0,E,,,,
1995-07-31,0.0,E,,,,
1995-08-01,0.0,E,,,,
1995-08-02,0.0,E,,,,
1995-08-03,0.0,E,,,,
1995-08-04,0.0,E,,,,
1995-08-05,0.0,E,,,,
1995-08-06,0.0,E,,,,
1995-08-07,0.0,E,,,,
1995-08-08,0.0,E,,,,
1995-08-09,0.0,E,,,,
1995-08-10,0.0,E,,,,
1995-08-11,0.0,E,,,,
1995-08-12,0.0,E,,,,
1995-08-13,0.0,E,,,,
1995-08-14,0.0,E,,,,
1995-08-15,0.0,E,,,,
1995-08-16,0.0,E,,,,
1995-08-17,0.0,E,,,,
1995-08-18,0.0,E,,,,
1995-08-19,0.0,E,,,,
1995-08-20,0.0,E,,,,
1995-08-21,0.0,E,,,,
1995-08-22,0.0,E,,,,
1995-08-23,0.0,E,,,,
1995-08-24,0.0,E,,,,
1995-08-25,0.0,E,,,,
1995-08-26,0.0,E,,,,
1995-08-27,0.0,E,,,,
1995-08-28,0.0,E,,,,
1995-08-29,0.0,E,,,,
1995-08-30,0.0,E,,,,
1995-08-31,0.0,E,,,,
1995-09-01,0.0,E,,,,
1995-09-02,0.0,E,,,,
1995-09-03,0.0,E,,,,
1995-09-04,0.0,E,,,,
1995-09-05,0.0,E,,,,
1995-09-06,0.0,E,,,,
1995-09-07,0.0,E,,,,
1995-09-08,0.0,E,,,,
1995-09-09,0.0,E,,,,
1995-09-10,0.0,E,,,,
1995-09-11,0.0,E,,,,
1995-09-12,0.0,E,,,,
1995-09-13,0.0,E,,,,
1995-09-14,0.0,E,,,,
1995-09-15,0.0,E,,,,
1995-09-16,0.0,E,,,,
1995-09-17,0.0,E,,,,
1995-09-18,0.0,E,,,,
1995-09-19,0.0,E,,,,
1995-09-20,0.0,E,,,,
1995-09-21,0.0,E,,,,
1995-09-22,0.0,E,,,,
1995-09-23,0.0,E,,,,
1995-09-24,0.0,E,,,,
1995-09-25,0.0,E,,,,
1995-09-26,0.0,E,,,,
1995-09-27,0.0,E,,,,
1995-09-28,0.0,E,,,,
1995-09-29,0.0,E,,,,
1995-09-30,0.0,E,,,,
1995-10-01,0.0,E,,,,
1995-10-02,0.0,E,,,,
1995-10-03,0.0,E,,,,
1995-10-04,0.0,E,,,,
1995-10-05,0.0,E,,,,
1995-10-06,0.0,E,,,,
1995-10-07,0.0,E,,,,
1995-10-08,0.0,E,,,,
1995-10-09,0.0,E,,,,
1995-10-10,0.0,E,,,,
1995-10-11,0.0,E,,,,
1995-10-12,0.0,E,,,,
1995-10-13,0.0,E,,,,
1995-10-14,0.0,V,,,,
1995-10-15,0.0,E,,,,
1995-10-16,0.0,E,,,,
1995-10-17,0.0,E,,,,
1995-10-18,0.0,E,,,,
1995-10-19,0.0,E,,,,
1995-10-20,0.0,E,,,,
1995-10-21,0.0,E,,,,
1995-10-22,0.0,E,,,,
1995-10-23,0.0,E,,,,
1995-10-24,0.0,E,,,,
1995-10-25,0.0,E,,,,
1995-10-26,0.0,E,,,,
1995-10-27,0.0,E,,,,
1995-10-28,0.0,E,,,,
1995-10-29,0.0,V,,,,
1995-10-30,0.0,V,,,,
1995-10-31,0.0,E,,,,
1995-11-01,0.0,E,,,,
1995-11-02,0.0,E,,,,
1995-11-03,0.0,E,,,,
1995-11-04,0.0,E,,,,
1995-11-05,0.7,V,,,,
1995-11-06,2.2,V,,,,
1995-11-07,2.5,V,,,,
1995-11-08,2.2,V,,,,
1995-11-09,0.9,V,,,,
1995-11-10,1.0,V,,,,
1995-11-11,1.3,V,,,,
1995-11-12,0.4,V,,,,
1995-11-13,0.2,V,,,,
1995-11-14,0.4,E,,,,
1995-11-15,0.3,V,,,,
1995-11-16,0.3,E,,,,
1995-11-17,0.2,V,,,,
1995-11-18,0.2,V,,,,
1995-11-19,0.2,V,,,,
1995-11-20,0.1,V,,,,
1995-11-21,0.0,E,,,,
1995-11-22,0.0,E,,,,
1995-11-23,0.0,E,,,,
1995-11-24,0.0,E,,,,
1995-11-25,0.0,E,,,,
1995-11-26,0.0,E,,,,
1995-11-27,0.6,V,,,,
1995-11-28,1.9,V,,,,
1995-11-29,0.4,E,,,,
1995-11-30,0.2,V,,,,
1995-12-01,0.4,V,,,,
1995-12-02,2.0,V,,,,
1995-12-03,2.3,V,,,,
1995-12-04,3.5,V,,,,
1995-12-05,3.7,V,,,,
1995-12-06,3.6,V,,,,
1995-12-07,3.6,V,,,,
1995-12-08,3.6,V,,,,
1995-12-09,3.6,V,,,,
1995-12-10,3.9,V,,,,
1995-12-11,3.6,V,,,,
1995-12-12,3.3,V,,,,
1995-12-13,3.2,V,,,,
1995-12-14,3.5,E,,,,
1995-12-15,4.3,V,,,,
1995-12-16,4.6,V,,,,
1995-12-17,4.6,V,,,,
1995-12-18,4.7,V,,,,
1995-12-19,4.7,V,,,,
1995-12-20,4.6,V,,,,
1995-12-21,4.6,V,,,,
1995-12-22,4.6,V,,,,
1995-12-23,4.4,V,,,,
1995-12-24,4.4,E,,,,
1995-12-25,4.4,E,,,,
1995-12-26,4.4,E,,,,
1995-12-27,4.4,E,,,,
1995-12-28,4.5,V,,,,
1995-12-29,4.6,V,,,,
1995-12-30,4.6,V,,,,
1995-12-31,4.4,V,,,,
1996-01-01,4.3,V,,,,
1996-01-02,4.2,V,,,,
1996-01-03,3.8,V,,,,
1996-01-04,5.6,V,,,,
1996-01-05,6.7,V,,,,
1996-01-06,7.0,V,,,,
1996-01-07,7.4,V,,,,
1996-01-08,6.3,V,,,,
1996-01-09,6.1,V,,,,
1996-01-10,6.4,E,,,,
1996-01-11,6.9,V,,,,
1996-01-12,6.9,V,,,,
1996-01-13,6.9,E,,,,
1996-01-14,7.0,V,,,,
1996-01-15,6.6,V,,,,
1996-01-16,6.7,V,,,,
1996-01-17,6.8,V,,,,
1996-01-18,7.0,V,,,,
1996-01-19,7.1,V,,,,
1996-01-20,7.8,V,,,,
1996-01-21,9.6,V,,,,
1996-01-22,10.3,V,,,,
1996-01-23,11.1,V,,,,
1996-01-24,12.5,V,,,,
1996-01-25,13.4,V,,,,
1996-01-26,13.7,V,,,,
1996-01-27,13.9,V,,,,
1996-01-28,13.9,V,,,,
1996-01-29,14.9,V,,,,
1996-01-30,14.9,V,,,,
1996-01-31,14.9,V,,,,
1996-02-01,14.8,V,,,,
1996-02-02,14.6,V,,,,
1996-02-03,14.7,V,,,,
1996-02-04,15.2,V,,,,
1996-02-05,15.6,V,,,,
1996-02-06,15.9,V,,,,
1996-02-07,15.8,V,,,,
1996-02-08,15.7,V,,,,
1996-02-09,14.3,E,,,,
1996-02-10,14.3,E,,,,
1996-02-11,14.3,V,,,,
1996-02-12,14.3,E,,,,
1996-02-13,14.3,E,,,,
1996-02-14,14.3,V,,,,
1996-02-15,14.3,V,,,,
1996-02-16,14.3,V,,,,
1996-02-17,14.2,V,,,,
1996-02-18,14.2,V,,,,
1996-02-19,13.7,V,,,,
1996-02-20,14.3,V,,,,
1996-02-21,15.0,V,,,,
1996-02-22,15.3,V,,,,
1996-02-23,17.0,V,,,,
1996-02-24,18.4,V,,,,
1996-02-25,18.9,E,,,,
1996-02-26,19.4,E,,,,
1996-02-27,20.4,E,,,,
1996-02-28,20.4,E,,,,
1996-02-29,20.4,E,,,,
1996-03-01,20.0,E,,,,
1996-03-02,19.5,E,,,,
1996-03-03,18.9,V,,,,
1996-03-04,19.3,V,,,,
1996-03-05,19.3,V,,,,
1996-03-06,19.3,V,,,,
1996-03-07,19.5,V,,,,
1996-03-08,19.5,V,,,,
1996-03-09,19.5,V,,,,
1996-03-10,19.3,V,,,,
1996-03-11,18.9,V,,,,
1996-03-12,18.2,E,,,,
1996-03-13,18.1,E,,,,
1996-03-14,18.1,E,,,,
1996-03-15,18.2,V,,,,
1996-03-16,18.2,V,,,,
1996-03-17,18.3,V,,,,
1996-03-18,18.4,V,,,,
1996-03-19,18.4,V,,,,
1996-03-20,18.9,V,,,,
1996-03-21,18.8,V,,,,
1996-03-22,19.2,V,,,,
1996-03-23,19.5,E,,,,
1996-03-24,19.6,V,,,,
1996-03-25,19.4,V,,,,
1996-03-26,19.4,E,,,,
1996-03-27,19.4,E,,,,
1996-03-28,19.5,E,,,,
1996-03-29,19.5,E,,,,
1996-03-30,21.4,V,,,,
1996-03-31,21.6,V,,,,
1996-04-01,22.1,V,,,,
1996-04-02,22.3,V,,,,
1996-04-03,22.0,V,,,,
1996-04-04,21.8,V,,,,
1996-04-05,21.7,V,,,,
1996-04-06,21.4,V,,,,
1996-04-07,21.5,V,,,,
1996-04-08,20.3,V,,,,
1996-04-09,19.5,V,,,,
1996-04-10,19.0,V,,,,
1996-04-11,18.4,V,,,,
1996-04-12,18.4,V,,,,
1996-04-13,19.4,V,,,,
1996-04-14,19.8,V,,,,
1996-04-15,19.7,V,,,,
1996-04-16,19.9,V,,,,
1996-04-17,18.9,V,,,,
1996-04-18,19.3,V,,,,
1996-04-19,19.7,V,,,,
1996-04-20,20.2,V,,,,
1996-04-21,20.2,E,,,,
1996-04-22,20.2,V,,,,
1996-04-23,20.5,V,,,,
1996-04-24,20.1,V,,,,
1996-04-25,19.4,V,,,,
1996-04-26,20.0,V,,,,
1996-04-27,21.2,V,,,,
1996-04-28,21.3,V,,,,
1996-04-29,21.3,V,,,,
1996-04-30,20.8,V,,,,
1996-05-01,21.3,V,,,,
1996-05-02,22.1,V,,,,
1996-05-03,22.7,V,,,,
1996-05-04,22.9,V,,,,
1996-05-05,23.1,V,,,,
1996-05-06,22.8,V,,,,
1996-05-07,22.7,V,,,,
1996-05-08,23.6,V,,,,
1996-05-09,23.8,V,,,,
1996-05-10,23.7,V,,,,
1996-05-11,23.4,V,,,,
1996-05-12,23.4,V,,,,
1996-05-13,23.3,V,,,,
1996-05-14,22.3,V,,,,
1996-05-15,21.7,V,,,,
1996-05-16,20.9,V,,,,
1996-05-17,20.5,V,,,,
1996-05-18,19.9,V,,,,
1996-05-19,19.4,V,,,,
1996-05-20,18.8,V,,,,
1996-05-21,18.3,V,,,,
1996-05-22,18.0,V,,,,
1996-05-23,18.0,E,,,,
1996-05-24,17.6,V,,,,
1996-05-25,17.1,V,,,,
1996-05-26,16.0,V,,,,
1996-05-27,15.0,V,,,,
1996-05-28,14.5,V,,,,
1996-05-29,14.3,V,,,,
1996-05-30,14.0,V,,,,
1996-05-31,13.3,V,,,,
1996-06-01,12.5,V,,,,
1996-06-02,11.6,V,,,,
1996-06-03,10.4,V,,,,
1996-06-04,8.6,V,,,,
1996-06-05,7.6,V,,,,
1996-06-06,6.3,V,,,,
1996-06-07,4.6,V,,,,
1996-06-08,3.3,V,,,,
1996-06-09,2.1,V,,,,
1996-06-10,1.1,V,,,,
1996-06-11,0.3,V,,,,
1996-06-12,0.0,E,,,,
1996-06-13,0.0,E,,,,
1996-06-14,0.0,E,,,,
1996-06-15,0.0,E,,,,
1996-06-16,0.0,E,,,,
1996-06-17,0.0,E,,,,
1996-06-18,0.0,E,,,,
1996-06-19,0.0,E,,,,
1996-06-20,0.0,E,,,,
1996-06-21,0.0,E,,,,
1996-06-22,0.0,E,,,,
1996-06-23,0.0,E,,,,
1996-06-24,0.0,V,,,,
1996-06-25,0.0,E,,,,
1996-06-26,0.0,V,,,,
1996-06-27,0.0,E,,,,
1996-06-28,0.0,E,,,,
1996-06-29,0.0,V,,,,
1996-06-30,0.0,V,,,,
1996-07-01,0.0,E,,,,
1996-07-02,0.0,E,,,,
1996-07-03,0.0,E,,,,
1996-07-04,0.0,E,,,,
1996-07-05,0.0,E,,,,
1996-07-06,0.0,E,,,,
